date	close
15-Jun-01	858
15-Jul-01	1200
15-Aug-01	2588
15-Sep-01	2066
15-Oct-01	1649
15-Nov-01	2818
15-Dec-01	3155
16-Jan-01	4887
16-Feb-01	2689
16-Mar-01	6866
16-Apr-01	7622
16-May-01	6461
16-Jun-01	7658
16-Jul-01	24181
16-Aug-01	9628
16-Sep-01	10103
16-Oct-01	13261
16-Nov-01	20617
16-Dec-01	16988
17-Jan-01	24015
17-Feb-01	23132
17-Mar-01	21319
17-Apr-01	15001
17-May-01	10426
17-Jun-01	16927
17-Jul-01	21101
17-Aug-01	16334
17-Sep-01	21183
17-Oct-01	17102
17-Nov-01	23886
17-Dec-01	19143
18-Jan-01	22020
18-Feb-01	21836
18-Mar-01	15727
18-Apr-01	18227
18-May-01	18245
18-Jun-01	22594
18-Jul-01	20254
18-Aug-01	18434
18-Sep-01	18801
18-Oct-01	21652
18-Nov-01	21424
18-Dec-01	17635
19-Jan-01	18022
