Date ,Tweets About the Wall,"Tweets About Latin American Migrants, Asylees and Immigrants"
6/15,2,20
7/15,4,65
8/15,3,6
9/15,1,5
10/15,2,15
11/15,4,20
12/15,1,6
1/16,2,3
2/16,5,18
3/16,2,10
4/16,1,5
5/16,3,8
6/16,0,14
7/16,1,6
8/16,4,13
9/16,2,8
10/16,0,11
11/16,1,3
12/16,0,4
1/17,5,15
2/17,1,4
3/17,0,1
4/17,5,12
5/17,0,1
6/17,1,5
7/17,1,6
8/17,4,15
9/17,1,11
10/17,2,4
11/17,4,6
12/17,5,9
1/18,13,40
2/18,6,25
3/18,10,23
4/18,7,32
5/18,4,13
6/18,4,60
7/18,3,34
8/18,1,29
9/18,2,13
10/18,2,50
11/18,4,33
12/18,50,59
1/19,19,34
