YEAR,MONTH,Date,TWEET_Hispanic_Terms,TWEE_WALL
2015,6,2015/6,20,2
2015,7,2015/7,65,4
2015,8,2015/8,6,3
2015,9,2015/9,5,1
2015,10,2015/10,15,2
2015,11,2015/11,20,4
2015,12,2015/12,6,1
2016,1,2016/1,3,2
2016,2,2016/2,18,5
2016,3,2016/3,10,2
2016,4,2016/4,5,1
2016,5,2016/5,8,3
2016,6,2016/6,14,0
2016,7,2016/7,6,1
2016,8,2016/8,13,4
2016,9,2016/9,8,2
2016,10,2016/10,11,0
2016,11,2016/11,3,1
2016,12,2016/12,4,0
2017,1,2017/1,15,5
2017,2,2017/2,4,1
2017,3,2017/3,1,0
2017,4,2017/4,12,5
2017,5,2017/5,1,0
2017,6,2017/6,5,1
2017,7,2017/7,6,1
2017,8,2017/8,15,4
2017,9,2017/9,11,1
2017,10,2017/10,4,2
2017,11,2017/11,6,4
2017,12,2017/12,9,5
2018,1,2018/1,40,13
2018,2,2018/2,25,6
2018,3,2018/3,23,10
2018,4,2018/4,32,7
2018,5,2018/5,13,4
2018,6,2018/6,60,4
2018,7,2018/7,34,3
2018,8,2018/8,29,1
2018,9,2018/9,13,2
2018,10,2018/10,50,2
2018,11,2018/11,33,4
2018,12,2018/12,59,50
2019,1,2019/1,34,19
